booking_id,property_id,booked_at,check_in,check_out,nightly_rate_usd,cleaning_fee_usd,channel,status,guest_country,rating
B0082,P002,2025-04-24,2025-07-05,2025-07-08,106.29,33.0,Booking.com,completed,Uruguay,4.4
B0083,P002,2025-03-30,2025-07-02,2025-07-05,84.21,33.0,Direct,completed,Argentina,4.3
B0084,P002,2025-07-16,2025-08-27,2025-09-03,85.33,33.0,Booking.com,completed,United States,4.6
B0085,P002,2025-06-08,2025-08-18,2025-08-24,108.09,33.0,Airbnb,cancelled,Argentina,
B0086,P002,2025-07-18,2025-08-03,2025-08-09,105.6,33.0,Airbnb,completed,Chile,4.9
B0087,P002,2025-05-29,2025-08-18,2025-08-25,94.47,33.0,Airbnb,completed,Argentina,4.7
B0088,P002,2025-07-17,2025-09-12,2025-09-18,103.8,33.0,Airbnb,completed,United States,4.7
B0089,P002,2025-09-24,2025-09-27,2025-09-29,85.1,33.0,Direct,completed,Argentina,4.6
B0090,P002,2025-08-23,2025-10-26,2025-11-02,108.55,33.0,Booking.com,completed,Brazil,4.7
B0091,P002,2025-09-19,2025-10-19,2025-10-26,106.53,33.0,Booking.com,completed,Spain,4.7
B0092,P002,2025-10-27,2025-11-20,2025-11-23,96.32,33.0,Booking.com,completed,Brazil,4.5
B0093,P002,2025-10-11,2025-11-23,2025-11-30,102.99,33.0,Booking.com,completed,Spain,5.0
B0094,P002,2025-08-27,2025-11-12,2025-11-16,108.55,33.0,Direct,completed,Chile,4.9
B0095,P002,2025-09-20,2025-12-04,2025-12-10,105.98,33.0,Direct,completed,Argentina,4.2
B0096,P002,2025-12-12,2025-12-15,2025-12-22,98.8,33.0,Booking.com,completed,Argentina,4.2
B0097,P003,2023-12-21,2024-01-20,2024-01-27,88.48,25.5,Airbnb,completed,Spain,4.2
B0098,P003,2023-10-18,2024-01-02,2024-01-08,70.81,25.5,Airbnb,completed,Argentina,4.7
B0099,P003,2024-01-30,2024-02-16,2024-02-20,89.93,25.5,Airbnb,completed,Chile,4.5
B0100,P003,2023-11-25,2024-02-04,2024-02-09,76.11,25.5,Airbnb,cancelled,Argentina,
B0101,P003,2024-02-02,2024-02-26,2024-02-28,88.82,25.5,Expedia,completed,Argentina,4.5
B0102,P003,2024-02-15,2024-03-20,2024-03-26,86.9,25.5,Airbnb,completed,Argentina,4.3
B0103,P003,2024-02-07,2024-03-27,2024-04-03,80.75,25.5,Booking.com,completed,Brazil,4.5
B0104,P003,2024-03-04,2024-04-08,2024-04-13,94.27,25.5,Airbnb,completed,Argentina,5.0
B0105,P003,2024-02-26,2024-04-24,2024-04-29,93.7,25.5,Booking.com,completed,Brazil,4.7
B0106,P003,2024-04-12,2024-05-13,2024-05-19,88.96,25.5,Airbnb,completed,United States,4.5
B0107,P003,2024-02-19,2024-05-07,2024-05-13,70.04,25.5,Expedia,completed,Argentina,4.9
B0108,P003,2024-06-03,2024-06-09,2024-06-15,72.26,25.5,Booking.com,completed,Spain,5.0
B0109,P003,2024-05-16,2024-06-06,2024-06-13,83.98,25.5,Booking.com,cancelled,Argentina,
B0110,P003,2024-05-08,2024-07-19,2024-07-22,84.28,25.5,Booking.com,completed,Brazil,4.0
B0111,P003,2024-07-04,2024-07-22,2024-07-29,88.74,25.5,Booking.com,cancelled,Argentina,
B0112,P003,2024-07-30,2024-08-16,2024-08-21,82.94,25.5,Airbnb,completed,Argentina,4.8
B0113,P003,2024-07-15,2024-09-12,2024-09-20,83.92,25.5,Direct,completed,Chile,4.9
B0114,P003,2024-08-23,2024-09-05,2024-09-08,75.78,25.5,Direct,completed,Argentina,4.9
B0115,P003,2024-07-20,2024-10-06,2024-10-12,93.18,25.5,Airbnb,cancelled,United States,
B0116,P003,2024-07-30,2024-11-02,2024-11-06,91.89,25.5,Airbnb,completed,Spain,4.9
B0117,P003,2024-11-12,2024-11-23,2024-11-30,100.48,25.5,Expedia,completed,Argentina,4.1
B0118,P003,2024-12-05,2024-12-08,2024-12-11,75.76,25.5,Airbnb,completed,Chile,4.7
B0119,P003,2025-01-06,2025-01-30,2025-02-01,87.1,25.5,Booking.com,completed,Argentina,4.3
B0120,P003,2025-01-16,2025-02-25,2025-03-03,73.2,25.5,Booking.com,completed,Argentina,4.2
B0121,P003,2024-12-31,2025-02-17,2025-02-20,71.09,25.5,Booking.com,completed,Chile,4.9
B0122,P003,2025-02-02,2025-03-22,2025-03-25,92.54,25.5,Booking.com,completed,Chile,4.4
B0123,P003,2025-03-08,2025-03-27,2025-04-02,80.49,25.5,Direct,completed,Uruguay,4.2
B0124,P003,2024-12-26,2025-03-15,2025-03-18,79.1,25.5,Airbnb,completed,Argentina,4.1
B0125,P003,2025-02-16,2025-03-05,2025-03-09,91.86,25.5,Expedia,completed,Brazil,4.7
B0126,P003,2025-01-31,2025-04-21,2025-04-24,90.82,25.5,Direct,completed,Brazil,4.6
B0127,P003,2025-03-14,2025-05-09,2025-05-17,72.02,25.5,Booking.com,completed,Argentina,4.6
B0128,P003,2025-03-05,2025-05-26,2025-05-28,84.32,25.5,Booking.com,completed,Argentina,4.6
B0129,P003,2025-04-05,2025-05-07,2025-05-09,84.02,25.5,Airbnb,completed,Brazil,4.4
B0130,P003,2025-04-04,2025-05-28,2025-06-04,82.29,25.5,Booking.com,completed,Brazil,4.3
B0131,P003,2025-04-30,2025-06-04,2025-06-09,77.83,25.5,Direct,completed,Argentina,4.2
B0132,P003,2025-05-19,2025-06-22,2025-06-27,86.47,25.5,Airbnb,completed,Argentina,4.2
B0133,P003,2025-05-16,2025-06-19,2025-06-21,75.52,25.5,Expedia,completed,Chile,4.6
B0134,P003,2025-04-06,2025-07-02,2025-07-08,73.85,25.5,Booking.com,cancelled,Brazil,
B0135,P003,2025-07-23,2025-07-30,2025-08-05,86.88,25.5,Direct,completed,Uruguay,4.1
B0136,P003,2025-06-13,2025-07-02,2025-07-09,73.83,25.5,Direct,completed,Argentina,4.4
B0137,P003,2025-05-17,2025-08-06,2025-08-09,70.16,25.5,Booking.com,completed,Uruguay,4.3
B0138,P003,2025-06-02,2025-08-14,2025-08-20,75.17,25.5,Airbnb,completed,Chile,5.0
B0139,P003,2025-09-17,2025-10-10,2025-10-18,89.09,25.5,Booking.com,completed,Argentina,4.3
B0140,P003,2025-07-26,2025-10-20,2025-10-23,79.53,25.5,Direct,completed,United States,4.3
B0141,P003,2025-09-14,2025-10-30,2025-11-03,81.04,25.5,Expedia,completed,Argentina,4.9
B0142,P003,2025-09-14,2025-12-04,2025-12-09,77.66,25.5,Booking.com,completed,Argentina,4.5
B0143,P003,2025-11-29,2025-12-19,2025-12-26,73.86,25.5,Airbnb,completed,United States,4.3
B0144,P004,2023-11-07,2024-01-02,2024-01-04,54.68,25.5,Airbnb,completed,Brazil,5.0
B0145,P004,2023-10-20,2024-01-09,2024-01-13,54.05,25.5,Airbnb,completed,Argentina,4.8
B0146,P004,2023-11-23,2024-01-14,2024-01-21,60.57,25.5,Airbnb,completed,Argentina,4.5
B0147,P004,2024-01-04,2024-02-07,2024-02-15,67.23,25.5,Airbnb,completed,Argentina,4.4
B0148,P004,2024-01-10,2024-02-16,2024-02-21,64.34,25.5,Airbnb,completed,Brazil,4.6
B0149,P004,2024-03-08,2024-03-28,2024-04-03,54.35,25.5,Airbnb,completed,Argentina,4.3
B0150,P004,2024-02-03,2024-03-26,2024-04-01,51.07,25.5,Booking.com,cancelled,United States,
B0151,P004,2023-12-31,2024-03-12,2024-03-16,51.71,25.5,Expedia,completed,Argentina,4.6
B0152,P004,2024-02-24,2024-04-15,2024-04-22,53.8,25.5,Airbnb,completed,Argentina,4.3
B0153,P004,2024-01-26,2024-04-26,2024-04-28,51.24,25.5,Booking.com,completed,United States,4.5
B0154,P004,2024-01-02,2024-04-05,2024-04-09,47.3,25.5,Expedia,completed,Spain,4.8
B0155,P004,2024-04-09,2024-05-09,2024-05-16,54.68,25.5,Airbnb,completed,Uruguay,4.1
B0156,P004,2024-04-21,2024-05-18,2024-05-21,47.77,25.5,Airbnb,completed,Uruguay,4.3
B0157,P004,2024-04-21,2024-06-09,2024-06-15,46.64,25.5,Booking.com,completed,Brazil,4.9
B0158,P004,2024-03-25,2024-06-15,2024-06-20,54.66,25.5,Booking.com,completed,Argentina,4.9
B0159,P004,2024-07-01,2024-07-17,2024-07-20,67.19,25.5,Airbnb,completed,Argentina,4.2
B0160,P004,2024-05-30,2024-07-26,2024-08-03,55.31,25.5,Direct,completed,Uruguay,4.8
B0161,P004,2024-06-05,2024-07-20,2024-07-26,62.46,25.5,Booking.com,completed,Brazil,4.7
B0162,P004,2024-05-28,2024-08-22,2024-08-30,46.73,25.5,Expedia,completed,Uruguay,4.5
B0163,P004,2024-07-21,2024-08-13,2024-08-20,53.46,25.5,Airbnb,completed,United States,4.0
B0164,P004,2024-07-07,2024-08-07,2024-08-09,47.64,25.5,Booking.com,completed,Argentina,4.0
B0165,P004,2024-07-27,2024-09-04,2024-09-08,53.57,25.5,Direct,completed,United States,4.6
B0166,P004,2024-08-30,2024-10-21,2024-10-23,46.54,25.5,Expedia,completed,United States,4.6
B0167,P004,2024-09-11,2024-11-22,2024-11-24,53.87,25.5,Direct,completed,Argentina,4.8
B0168,P004,2024-11-26,2024-12-20,2024-12-24,55.12,25.5,Airbnb,completed,Brazil,4.2
B0169,P004,2024-09-14,2024-12-03,2024-12-09,46.4,25.5,Direct,cancelled,Chile,
B0170,P004,2024-11-11,2025-01-15,2025-01-22,64.83,25.5,Direct,cancelled,Argentina,
B0171,P004,2025-01-14,2025-01-19,2025-01-27,55.87,25.5,Booking.com,completed,Argentina,4.5
B0172,P004,2025-01-02,2025-02-23,2025-02-28,61.62,25.5,Airbnb,completed,Argentina,4.0
B0173,P004,2024-11-18,2025-02-02,2025-02-04,67.78,25.5,Airbnb,cancelled,Brazil,
B0174,P004,2024-11-13,2025-02-10,2025-02-14,66.64,25.5,Direct,completed,Argentina,4.2
B0175,P004,2025-02-19,2025-03-16,2025-03-20,54.7,25.5,Booking.com,completed,Chile,4.3
B0176,P004,2024-12-26,2025-03-05,2025-03-08,55.86,25.5,Airbnb,completed,Spain,4.6
B0177,P004,2025-01-31,2025-03-21,2025-03-24,57.94,25.5,Expedia,completed,Chile,4.1
B0178,P004,2025-03-14,2025-03-30,2025-04-05,48.12,25.5,Airbnb,completed,Brazil,4.6
B0179,P004,2025-04-16,2025-04-22,2025-04-30,45.93,25.5,Booking.com,completed,Argentina,4.8
B0180,P004,2025-03-15,2025-04-05,2025-04-09,48.48,25.5,Airbnb,completed,Argentina,4.7
B0181,P004,2025-02-08,2025-04-15,2025-04-21,47.5,25.5,Booking.com,completed,United States,4.9
B0182,P004,2025-02-23,2025-05-20,2025-05-27,57.17,25.5,Direct,completed,Argentina,4.5
B0183,P004,2025-04-09,2025-05-10,2025-05-12,55.12,25.5,Booking.com,completed,United States,4.5
B0184,P004,2025-05-16,2025-05-29,2025-06-02,56.93,25.5,Direct,completed,Argentina,4.6
B0185,P004,2025-02-09,2025-05-14,2025-05-17,52.24,25.5,Booking.com,completed,Argentina,4.7
B0186,P004,2025-05-23,2025-06-21,2025-06-25,47.03,25.5,Airbnb,completed,United States,4.9
B0187,P004,2025-05-11,2025-06-10,2025-06-16,58.3,25.5,Airbnb,completed,Argentina,4.2
B0188,P004,2025-04-25,2025-07-11,2025-07-17,68.06,25.5,Booking.com,completed,Spain,4.7
B0189,P004,2025-06-12,2025-07-18,2025-07-23,63.63,25.5,Direct,completed,Brazil,4.1
B0190,P004,2025-07-02,2025-07-29,2025-08-04,59.55,25.5,Direct,completed,Chile,4.2
B0191,P004,2025-05-17,2025-08-18,2025-08-26,58.36,25.5,Booking.com,completed,Argentina,4.9
B0192,P004,2025-08-19,2025-08-29,2025-09-04,56.3,25.5,Direct,completed,Argentina,4.3
B0193,P004,2025-06-24,2025-09-19,2025-09-24,51.16,25.5,Airbnb,completed,Spain,4.9
B0194,P004,2025-07-07,2025-09-06,2025-09-12,46.84,25.5,Direct,completed,Argentina,4.6
B0195,P004,2025-08-08,2025-11-04,2025-11-12,50.71,25.5,Booking.com,completed,Argentina,4.8
B0196,P004,2025-10-13,2025-11-12,2025-11-19,49.23,25.5,Direct,completed,Chile,4.9
B0197,P004,2025-10-22,2025-12-03,2025-12-10,51.69,25.5,Airbnb,completed,Argentina,4.1
B0198,P004,2025-10-11,2025-12-15,2025-12-21,50.8,25.5,Airbnb,completed,United States,4.7
B0199,P004,2025-12-09,2025-12-25,2025-12-28,56.33,25.5,Booking.com,completed,Brazil,4.8
B0200,P005,2023-10-06,2024-01-08,2024-01-13,85.98,33.0,Airbnb,cancelled,Uruguay,
B0201,P005,2023-11-08,2024-01-16,2024-01-21,85.43,33.0,Booking.com,completed,Argentina,4.7
B0202,P005,2023-12-22,2024-02-11,2024-02-13,74.92,33.0,Booking.com,completed,Argentina,4.4
B0203,P005,2024-01-12,2024-02-08,2024-02-10,70.64,33.0,Airbnb,completed,Chile,4.7
B0204,P005,2023-12-29,2024-03-25,2024-03-31,67.51,33.0,Booking.com,completed,Argentina,4.1
B0205,P005,2024-02-18,2024-03-26,2024-04-01,62.47,33.0,Airbnb,cancelled,Argentina,
B0206,P005,2024-02-16,2024-03-25,2024-03-28,72.25,33.0,Booking.com,cancelled,Argentina,
B0207,P005,2024-03-24,2024-04-20,2024-04-26,70.98,33.0,Direct,completed,Spain,4.3
B0208,P005,2024-02-21,2024-04-28,2024-05-05,73.26,33.0,Airbnb,completed,Argentina,4.5
B0209,P005,2024-01-17,2024-04-11,2024-04-14,60.35,33.0,Booking.com,completed,Chile,4.5
B0210,P005,2024-04-25,2024-05-07,2024-05-11,71.29,33.0,Direct,cancelled,Chile,
B0211,P005,2024-05-10,2024-05-14,2024-05-19,65.48,33.0,Booking.com,completed,Brazil,4.7
B0212,P005,2024-04-04,2024-06-14,2024-06-21,71.53,33.0,Booking.com,completed,Brazil,4.1
B0213,P005,2024-05-08,2024-07-15,2024-07-18,85.42,33.0,Booking.com,cancelled,Uruguay,
B0214,P005,2024-06-14,2024-07-08,2024-07-11,73.57,33.0,Booking.com,completed,Uruguay,4.2
B0215,P005,2024-07-20,2024-08-11,2024-08-15,57.97,33.0,Airbnb,completed,Argentina,4.1
B0216,P005,2024-06-26,2024-08-26,2024-08-28,67.15,33.0,Airbnb,completed,Argentina,4.6
B0217,P005,2024-06-12,2024-09-08,2024-09-11,57.66,33.0,Direct,completed,Chile,4.0
B0218,P005,2024-07-14,2024-09-19,2024-09-22,57.92,33.0,Booking.com,completed,United States,4.9
B0219,P005,2024-09-16,2024-10-12,2024-10-20,59.23,33.0,Booking.com,completed,Uruguay,5.0
B0220,P005,2024-08-13,2024-11-16,2024-11-20,59.4,33.0,Airbnb,completed,Spain,4.7
B0221,P005,2024-08-15,2024-11-05,2024-11-11,72.03,33.0,Booking.com,completed,Uruguay,4.3
B0222,P005,2024-09-29,2024-12-16,2024-12-21,63.26,33.0,Booking.com,completed,Chile,4.8
B0223,P005,2024-10-17,2024-12-23,2024-12-30,73.62,33.0,Direct,completed,Argentina,4.8
B0224,P005,2024-09-13,2024-12-06,2024-12-09,67.18,33.0,Booking.com,completed,United States,4.3
B0225,P005,2024-11-03,2025-01-17,2025-01-24,70.42,33.0,Booking.com,completed,Argentina,4.8
B0226,P005,2024-11-20,2025-01-09,2025-01-12,74.09,33.0,Airbnb,completed,Brazil,4.4
B0227,P005,2024-12-19,2025-01-30,2025-02-07,71.49,33.0,Booking.com,completed,Uruguay,4.1
B0228,P005,2025-02-07,2025-02-23,2025-02-27,69.19,33.0,Booking.com,completed,Argentina,4.3
B0229,P005,2024-11-22,2025-02-08,2025-02-16,86.73,33.0,Direct,completed,Argentina,4.1
B0230,P005,2025-02-03,2025-03-12,2025-03-17,62.7,33.0,Booking.com,completed,Argentina,4.2
B0231,P005,2025-01-03,2025-03-06,2025-03-10,67.95,33.0,Direct,completed,Brazil,4.9
B0232,P005,2025-01-16,2025-03-29,2025-04-01,69.07,33.0,Airbnb,completed,Chile,4.1
B0233,P005,2025-02-05,2025-04-24,2025-05-02,64.43,33.0,Airbnb,completed,Argentina,5.0
B0234,P005,2025-02-27,2025-04-12,2025-04-16,63.76,33.0,Booking.com,completed,Chile,4.8
B0235,P005,2025-05-13,2025-05-21,2025-05-28,73.06,33.0,Direct,completed,Brazil,4.9
B0236,P005,2025-02-20,2025-05-03,2025-05-08,66.68,33.0,Airbnb,completed,Brazil,4.8
B0237,P005,2025-04-26,2025-06-13,2025-06-17,64.29,33.0,Booking.com,completed,Uruguay,4.0
B0238,P005,2025-04-17,2025-06-25,2025-07-03,71.96,33.0,Airbnb,completed,Brazil,4.5
B0239,P005,2025-04-05,2025-06-02,2025-06-10,58.96,33.0,Booking.com,completed,Argentina,4.1
B0240,P005,2025-05-31,2025-06-19,2025-06-25,63.99,33.0,Direct,completed,Uruguay,4.7
B0241,P005,2025-04-12,2025-07-08,2025-07-13,67.87,33.0,Airbnb,completed,Uruguay,4.2
B0242,P005,2025-07-13,2025-07-23,2025-07-31,87.52,33.0,Airbnb,cancelled,Chile,
B0243,P005,2025-08-07,2025-08-14,2025-08-21,64.85,33.0,Airbnb,completed,Argentina,4.2
B0244,P005,2025-06-08,2025-08-30,2025-09-01,73.63,33.0,Direct,completed,Argentina,4.9
B0245,P005,2025-05-28,2025-08-21,2025-08-29,61.35,33.0,Airbnb,completed,Uruguay,4.6
B0246,P005,2025-08-24,2025-09-05,2025-09-11,71.31,33.0,Airbnb,cancelled,Brazil,
B0247,P005,2025-08-20,2025-09-21,2025-09-27,63.16,33.0,Direct,completed,Argentina,4.2
B0248,P005,2025-08-18,2025-09-02,2025-09-10,64.7,33.0,Booking.com,completed,Chile,4.2
B0249,P005,2025-07-31,2025-10-04,2025-10-11,68.35,33.0,Booking.com,completed,Argentina,4.8
B0250,P005,2025-09-02,2025-10-18,2025-10-21,73.76,33.0,Direct,completed,Argentina,4.8
B0251,P005,2025-09-25,2025-10-29,2025-11-01,73.76,33.0,Booking.com,completed,Argentina,4.9
B0252,P005,2025-09-21,2025-11-24,2025-11-29,58.85,33.0,Direct,completed,Spain,4.1
B0253,P005,2025-11-18,2025-12-15,2025-12-23,60.17,33.0,Airbnb,completed,United States,4.6
B0254,P005,2025-11-08,2025-12-04,2025-12-08,66.44,33.0,Airbnb,completed,Chile,4.7
B0255,P005,2025-11-21,2025-12-09,2025-12-13,71.32,33.0,Direct,completed,Argentina,5.0
B0256,P006,2024-03-21,2024-03-24,2024-03-26,54.13,33.0,Direct,cancelled,Chile,
B0257,P006,2024-02-20,2024-03-15,2024-03-20,62.8,33.0,Direct,completed,Argentina,4.2
B0258,P006,2024-02-11,2024-04-27,2024-05-03,54.82,33.0,Direct,completed,Argentina,4.4
B0259,P006,2024-03-31,2024-04-05,2024-04-12,61.15,33.0,Booking.com,completed,Uruguay,4.8
B0260,P006,2024-02-27,2024-05-22,2024-05-30,52.53,33.0,Airbnb,completed,Argentina,4.4
B0261,P006,2024-04-16,2024-06-10,2024-06-17,54.52,33.0,Booking.com,completed,Argentina,4.4
